query,completo
0,0.9613198536830674
1,0.9912155002949917
2,0.9684365656038905
3,0.990851129014193
4,0.9817823417793492
5,0.9928388971915667
6,0.9711443055847466
7,0.9673007807609343
8,0.9772631325521296
9,0.9947154280187409
10,0.9969259894014366
11,0.9944290069613607
12,0.9969761778635295
13,0.9606891261491688
14,0.9922004649057379
15,0.9833726814206413
16,0.9717970895271246
17,0.9794984244982807
18,0.9730661833018687
19,0.9973363479858025
20,0.9618533823631069
21,0.9838111442017617
22,0.9889656170850312
23,0.9586621049615761
24,0.9792079946408817
25,0.9829631964108838
26,0.9775793012832351
27,0.9966816737088726
28,0.9864951078887799
29,0.9938670302550744
30,0.9888489017853591
31,0.989811214817295
32,0.9809948276568516
33,0.9799597313062774
34,0.9523176657637712
35,0.9930956463662671
36,0.9927517640967815
37,0.9926541165068413
38,0.9552039124031404
39,0.9894774636231354
40,0.996186397969362
41,0.9966600893226821
42,0.9956806342546282
43,0.9919240063256599
44,0.9833314834571955
45,0.991512477887355
46,0.9931186627782115
47,0.9789388349291052
48,0.9911896900372842
49,0.9955707134255948
50,0.9900846172244983
51,0.9938373601400092
52,0.9949490223749975
53,0.9908957125417787
54,0.9902878628473992
55,0.9613771302277537
56,0.9836327649605312
57,0.9933782834057363
58,0.9938532901808913
59,0.9581584831737651
60,0.9856601124177669
61,0.9905441553771778
62,0.9850463796053023
63,0.9874373153858402
64,0.971776037153387
65,0.9471379716326954
66,0.989174312423335
67,0.9797078032007102
68,0.9951253426330008
69,0.991613724725485
70,0.9856040029090959
71,0.9964781002962407
72,0.9980062012056131
73,0.982049981930733
74,0.9344599855926695
75,0.9906239772380883
76,0.9900678009872677
77,0.9362861108558517
78,0.9889813293507475
79,0.9993832324277342
80,0.9880621882939481
81,0.9896772856188168
82,0.9878445525898174
83,0.9885900897784117
84,0.9862286478828308
85,0.9764881609105899
86,0.9876403826212042
87,0.9778023617338463
88,0.9404970300027631
89,0.9861567639163423
90,0.9814776330397915
91,0.9831665192018106
92,0.9606271341684017
93,0.9851274758711123
94,0.9939375449982428
95,0.9969639018566958
96,0.9621283014787648
97,0.9875268317760743
98,0.9906913748305669
99,0.9837171117463372
